CONFIGURATION: n x m = 4x4, depth = 20, nodes = 128
[127] glbrank:    127 mynodeid:     63 nnodes:    128 ranks/node:      2 threads/rank:  1 aff:          KMP_AFFINITY=compact,1,0,granularity=fine --useful
[128] glbrank:    128 mynodeid:     64 nnodes:    128 ranks/node:      2 threads/rank:  1 aff:          KMP_AFFINITY=compact,1,0,granularity=fine --useful
[129] glbrank:    129 mynodeid:     64 nnodes:    128 ranks/node:      2 threads/rank:  1 aff:          KMP_AFFINITY=compact,1,0,granularity=fine --useful
[130] glbrank:    130 mynodeid:     65 nnodes:    128 ranks/node:      2 threads/rank:  1 aff:          KMP_AFFINITY=compact,1,0,granularity=fine --useful
[131] glbrank:    131 mynodeid:     65 nnodes:    128 ranks/node:      2 threads/rank:  1 aff:          KMP_AFFINITY=compact,1,0,granularity=fine --useful
[132] glbrank:    132 mynodeid:     66 nnodes:    128 ranks/node:      2 threads/rank:  1 aff:          KMP_AFFINITY=compact,1,0,granularity=fine --useful
[133] glbrank:    133 mynodeid:     66 nnodes:    128 ranks/node:      2 threads/rank:  1 aff:          KMP_AFFINITY=compact,1,0,granularity=fine --useful
[134] glbrank:    134 mynodeid:     67 nnodes:    128 ranks/node:      2 threads/rank:  1 aff:          KMP_AFFINITY=compact,1,0,granularity=fine --useful
[135] glbrank:    135 mynodeid:     67 nnodes:    128 ranks/node:      2 threads/rank:  1 aff:          KMP_AFFINITY=compact,1,0,granularity=fine --useful
[136] glbrank:    136 mynodeid:     68 nnodes:    128 ranks/node:      2 threads/rank:  1 aff:          KMP_AFFINITY=compact,1,0,granularity=fine --useful
[137] glbrank:    137 mynodeid:     68 nnodes:    128 ranks/node:      2 threads/rank:  1 aff:          KMP_AFFINITY=compact,1,0,granularity=fine --useful
[138] glbrank:    138 mynodeid:     69 nnodes:    128 ranks/node:      2 threads/rank:  1 aff:          KMP_AFFINITY=compact,1,0,granularity=fine --useful
[139] glbrank:    139 mynodeid:     69 nnodes:    128 ranks/node:      2 threads/rank:  1 aff:          KMP_AFFINITY=compact,1,0,granularity=fine --useful
[140] glbrank:    140 mynodeid:     70 nnodes:    128 ranks/node:      2 threads/rank:  1 aff:          KMP_AFFINITY=compact,1,0,granularity=fine --useful
[141] glbrank:    141 mynodeid:     70 nnodes:    128 ranks/node:      2 threads/rank:  1 aff:          KMP_AFFINITY=compact,1,0,granularity=fine --useful
[142] glbrank:    142 mynodeid:     71 nnodes:    128 ranks/node:      2 threads/rank:  1 aff:          KMP_AFFINITY=compact,1,0,granularity=fine --useful
[143] glbrank:    143 mynodeid:     71 nnodes:    128 ranks/node:      2 threads/rank:  1 aff:          KMP_AFFINITY=compact,1,0,granularity=fine --useful
[144] glbrank:    144 mynodeid:     72 nnodes:    128 ranks/node:      2 threads/rank:  1 aff:          KMP_AFFINITY=compact,1,0,granularity=fine --useful
[145] glbrank:    145 mynodeid:     72 nnodes:    128 ranks/node:      2 threads/rank:  1 aff:          KMP_AFFINITY=compact,1,0,granularity=fine --useful
[146] glbrank:    146 mynodeid:     73 nnodes:    128 ranks/node:      2 threads/rank:  1 aff:          KMP_AFFINITY=compact,1,0,granularity=fine --useful
[147] glbrank:    147 mynodeid:     73 nnodes:    128 ranks/node:      2 threads/rank:  1 aff:          KMP_AFFINITY=compact,1,0,granularity=fine --useful
[148] glbrank:    148 mynodeid:     74 nnodes:    128 ranks/node:      2 threads/rank:  1 aff:          KMP_AFFINITY=compact,1,0,granularity=fine --useful
[149] glbrank:    149 mynodeid:     74 nnodes:    128 ranks/node:      2 threads/rank:  1 aff:          KMP_AFFINITY=compact,1,0,granularity=fine --useful
[150] glbrank:    150 mynodeid:     75 nnodes:    128 ranks/node:      2 threads/rank:  1 aff:          KMP_AFFINITY=compact,1,0,granularity=fine --useful
[151] glbrank:    151 mynodeid:     75 nnodes:    128 ranks/node:      2 threads/rank:  1 aff:          KMP_AFFINITY=compact,1,0,granularity=fine --useful
[152] glbrank:    152 mynodeid:     76 nnodes:    128 ranks/node:      2 threads/rank:  1 aff:          KMP_AFFINITY=compact,1,0,granularity=fine --useful
[153] glbrank:    153 mynodeid:     76 nnodes:    128 ranks/node:      2 threads/rank:  1 aff:          KMP_AFFINITY=compact,1,0,granularity=fine --useful
[154] glbrank:    154 mynodeid:     77 nnodes:    128 ranks/node:      2 threads/rank:  1 aff:          KMP_AFFINITY=compact,1,0,granularity=fine --useful
[155] glbrank:    155 mynodeid:     77 nnodes:    128 ranks/node:      2 threads/rank:  1 aff:          KMP_AFFINITY=compact,1,0,granularity=fine --useful
[156] glbrank:    156 mynodeid:     78 nnodes:    128 ranks/node:      2 threads/rank:  1 aff:          KMP_AFFINITY=compact,1,0,granularity=fine --useful
[157] glbrank:    157 mynodeid:     78 nnodes:    128 ranks/node:      2 threads/rank:  1 aff:          KMP_AFFINITY=compact,1,0,granularity=fine --useful
[158] glbrank:    158 mynodeid:     79 nnodes:    128 ranks/node:      2 threads/rank:  1 aff:          KMP_AFFINITY=compact,1,0,granularity=fine --useful
[159] glbrank:    159 mynodeid:     79 nnodes:    128 ranks/node:      2 threads/rank:  1 aff:          KMP_AFFINITY=compact,1,0,granularity=fine --useful
[160] glbrank:    160 mynodeid:     80 nnodes:    128 ranks/node:      2 threads/rank:  1 aff:          KMP_AFFINITY=compact,1,0,granularity=fine --useful
[161] glbrank:    161 mynodeid:     80 nnodes:    128 ranks/node:      2 threads/rank:  1 aff:          KMP_AFFINITY=compact,1,0,granularity=fine --useful
[162] glbrank:    162 mynodeid:     81 nnodes:    128 ranks/node:      2 threads/rank:  1 aff:          KMP_AFFINITY=compact,1,0,granularity=fine --useful
[163] glbrank:    163 mynodeid:     81 nnodes:    128 ranks/node:      2 threads/rank:  1 aff:          KMP_AFFINITY=compact,1,0,granularity=fine --useful
[164] glbrank:    164 mynodeid:     82 nnodes:    128 ranks/node:      2 threads/rank:  1 aff:          KMP_AFFINITY=compact,1,0,granularity=fine --useful
[165] glbrank:    165 mynodeid:     82 nnodes:    128 ranks/node:      2 threads/rank:  1 aff:          KMP_AFFINITY=compact,1,0,granularity=fine --useful
[166] glbrank:    166 mynodeid:     83 nnodes:    128 ranks/node:      2 threads/rank:  1 aff:          KMP_AFFINITY=compact,1,0,granularity=fine --useful
[167] glbrank:    167 mynodeid:     83 nnodes:    128 ranks/node:      2 threads/rank:  1 aff:          KMP_AFFINITY=compact,1,0,granularity=fine --useful
[168] glbrank:    168 mynodeid:     84 nnodes:    128 ranks/node:      2 threads/rank:  1 aff:          KMP_AFFINITY=compact,1,0,granularity=fine --useful
[169] glbrank:    169 mynodeid:     84 nnodes:    128 ranks/node:      2 threads/rank:  1 aff:          KMP_AFFINITY=compact,1,0,granularity=fine --useful
[170] glbrank:    170 mynodeid:     85 nnodes:    128 ranks/node:      2 threads/rank:  1 aff:          KMP_AFFINITY=compact,1,0,granularity=fine --useful
[171] glbrank:    171 mynodeid:     85 nnodes:    128 ranks/node:      2 threads/rank:  1 aff:          KMP_AFFINITY=compact,1,0,granularity=fine --useful
[172] glbrank:    172 mynodeid:     86 nnodes:    128 ranks/node:      2 threads/rank:  1 aff:          KMP_AFFINITY=compact,1,0,granularity=fine --useful
[173] glbrank:    173 mynodeid:     86 nnodes:    128 ranks/node:      2 threads/rank:  1 aff:          KMP_AFFINITY=compact,1,0,granularity=fine --useful
[174] glbrank:    174 mynodeid:     87 nnodes:    128 ranks/node:      2 threads/rank:  1 aff:          KMP_AFFINITY=compact,1,0,granularity=fine --useful
